BirdID,BirthDate,Sex,Island
1575,03/04/2000,0,CN
1575,03/04/2000,0,CN
1575,03/04/2000,0,CN
1576,03/04/2000,0,CN
1576,03/04/2000,0,CN
1576,03/04/2000,0,CN
1576,03/04/2000,0,CN
1576,03/04/2000,0,CN
1576,03/04/2000,0,CN
1576,03/04/2000,0,CN
1186,16/07/1996,0,CN
1186,16/07/1996,0,CN
1186,16/07/1996,0,CN
1186,16/07/1996,0,CN
1186,16/07/1996,0,CN
1186,16/07/1996,0,CN
1859,13/09/1988,0,CN
1859,13/09/1988,0,CN
1859,13/09/1988,0,CN
1859,13/09/1988,0,CN
1859,13/09/1988,0,CN
1859,13/09/1988,0,CN
1859,13/09/1988,0,CN
848,22/10/1994,0,CN
848,22/10/1994,0,CN
848,22/10/1994,0,CN
848,22/10/1994,0,CN
1577,04/04/2000,1,CN
1577,04/04/2000,1,CN
1577,04/04/2000,1,CN
1577,04/04/2000,1,CN
1577,04/04/2000,1,CN
1577,04/04/2000,1,CN
1577,04/04/2000,1,CN
1577,04/04/2000,1,CN
1577,04/04/2000,1,CN
1577,04/04/2000,1,CN
1577,04/04/2000,1,CN
1577,04/04/2000,1,CN
1577,04/04/2000,1,CN
1577,04/04/2000,1,CN
1577,04/04/2000,1,CN
1577,04/04/2000,1,CN
1577,04/04/2000,1,CN
1577,04/04/2000,1,CN
1577,04/04/2000,1,CN
1370,23/07/1997,1,CN
1370,23/07/1997,1,CN
1370,23/07/1997,1,CN
1370,23/07/1997,1,CN
1370,23/07/1997,1,CN
1384,03/08/1998,0,CN
1384,03/08/1998,0,CN
1384,03/08/1998,0,CN
1384,03/08/1998,0,CN
1384,03/08/1998,0,CN
1384,03/08/1998,0,CN
1384,03/08/1998,0,CN
1384,03/08/1998,0,CN
1384,03/08/1998,0,CN
1384,03/08/1998,0,CN
1384,03/08/1998,0,CN
1384,03/08/1998,0,CN
1552,02/10/1999,0,CN
1552,02/10/1999,1,CN
1552,02/10/1999,1,CN
1552,02/10/1999,0,CN
1552,02/10/1999,0,CN
1552,02/10/1999,0,CN
1552,02/10/1999,0,CN
1552,02/10/1999,0,CN
1552,02/10/1999,0,CN
1504,16/06/1999,1,CN
1504,16/06/1999,1,CN
1504,16/06/1999,1,CN
1504,16/06/1999,1,CN
1504,16/06/1999,1,CN
1504,16/06/1999,1,CN
1504,16/06/1999,1,CN
1504,16/06/1999,1,CN
1504,16/06/1999,1,CN
1504,16/06/1999,1,CN
1504,16/06/1999,1,CN
1504,16/06/1999,1,CN
1504,16/06/1999,1,CN
1504,16/06/1999,1,CN
1504,16/06/1999,1,CN
1504,16/06/1999,1,CN
1504,16/06/1999,1,CN
1504,16/06/1999,1,CN
1504,16/06/1999,1,CN
1504,16/06/1999,1,CN
1504,16/06/1999,1,CN
1578,04/06/2000,1,CN
1578,04/06/2000,1,CN
1578,04/06/2000,1,CN
1579,04/06/2000,1,CN
1579,04/06/2000,1,CN
1579,04/06/2000,1,CN
1579,04/06/2000,1,CN
1579,04/06/2000,1,CN
1579,04/06/2000,1,CN
1579,04/06/2000,1,CN
1579,04/06/2000,1,CN
632,16/07/1993,1,CN
632,16/07/1993,1,CN
632,16/07/1993,1,CN
632,16/07/1993,1,CN
632,16/07/1993,1,CN
858,01/07/1994,0,CN
858,01/07/1994,0,CN
858,01/07/1994,0,CN
858,01/07/1994,0,CN
1063,21/07/1996,1,CN
1063,21/07/1996,1,CN
1063,21/07/1996,1,CN
1063,21/07/1996,1,CN
1580,05/06/2000,0,CN
1580,05/06/2000,0,CN
1580,05/06/2000,0,CN
1580,05/06/2000,0,CN
1580,05/06/2000,0,CN
1580,05/06/2000,1,CN
1580,05/06/2000,0,CN
1580,05/06/2000,0,CN
1580,05/06/2000,0,CN
1580,05/06/2000,0,CN
1580,05/06/2000,1,CN
1580,05/06/2000,0,CN
1580,05/06/2000,0,CN
1580,05/06/2000,0,CN
1580,05/06/2000,0,CN
1580,05/06/2000,0,CN
1581,06/04/2000,1,CN
1581,06/04/2000,1,CN
1581,06/04/2000,1,CN
1581,06/04/2000,1,CN
1581,06/04/2000,1,CN
1581,06/04/2000,1,CN
1581,06/04/2000,1,CN
1581,06/04/2000,1,CN
1581,06/04/2000,1,CN
1581,06/04/2000,1,CN
1581,06/04/2000,1,CN
1581,06/04/2000,1,CN
1581,06/04/2000,1,CN
1581,06/04/2000,1,CN
1582,06/04/2000,1,CN
1582,06/04/2000,1,CN
1582,06/04/2000,1,CN
1583,06/04/2000,1,CN
1583,06/04/2000,1,CN
1583,06/04/2000,1,CN
1527,07/09/1999,0,CN
1527,07/09/1999,0,CN
1527,07/09/1999,0,CN
1527,07/09/1999,0,CN
1196,23/07/1996,1,CN
1196,23/07/1996,1,CN
1196,23/07/1996,1,CN
1196,23/07/1996,1,CN
1196,23/07/1996,1,CN
1196,23/07/1996,1,CN
1196,23/07/1996,1,CN
1196,23/07/1996,1,CN
1196,23/07/1996,1,CN
1512,03/08/1999,1,CN
1512,03/08/1999,1,CN
1512,03/08/1999,1,CN
1512,03/08/1999,1,CN
1512,03/08/1999,1,CN
1512,03/08/1999,1,CN
1512,03/08/1999,1,CN
1512,03/08/1999,1,CN
1512,03/08/1999,1,CN
1584,09/12/1999,0,CN
1584,09/12/1999,0,CN
1584,09/12/1999,0,CN
1585,06/06/2000,1,CN
1585,06/06/2000,1,CN
1585,06/06/2000,1,CN
1586,07/04/2000,0,CN
1586,07/04/2000,0,CN
1586,07/04/2000,0,CN
497,08/07/1993,1,CN
497,08/07/1993,1,CN
497,08/07/1993,1,CN
497,08/07/1993,1,CN
497,08/07/1993,1,CN
497,08/07/1993,1,CN
497,08/07/1993,1,CN
497,08/07/1993,1,CN
497,08/07/1993,1,CN
497,08/07/1993,1,CN
497,08/07/1993,1,CN
497,08/07/1993,1,CN
497,08/07/1993,1,CN
495,08/07/1993,1,CN
495,08/07/1993,1,CN
495,08/07/1993,1,CN
495,08/07/1993,1,CN
495,08/07/1993,1,CN
495,08/07/1993,1,CN
1515,20/06/1999,1,CN
1515,20/06/1999,1,CN
1515,20/06/1999,1,CN
1515,20/06/1999,1,CN
1515,20/06/1999,1,CN
1166,08/11/1996,1,CN
1166,08/11/1996,1,CN
1166,08/11/1996,1,CN
1166,08/11/1996,1,CN
1166,08/11/1996,1,CN
1587,08/08/1999,1,CN
1587,08/08/1999,1,CN
1587,08/08/1999,1,CN
1587,08/08/1999,1,CN
1587,08/08/1999,1,CN
1587,08/08/1999,1,CN
1587,08/08/1999,1,CN
1587,08/08/1999,1,CN
1587,08/08/1999,1,CN
1588,09/04/2000,0,CN
1588,09/04/2000,0,CN
1588,09/04/2000,0,CN
1589,09/04/2000,0,CN
1589,09/04/2000,0,CN
1589,09/04/2000,0,CN
1589,09/04/2000,0,CN
1589,09/04/2000,0,CN
1589,09/04/2000,0,CN
1589,09/04/2000,0,CN
1589,09/04/2000,0,CN
1589,09/04/2000,0,CN
1589,09/04/2000,0,CN
1589,09/04/2000,0,CN
1589,09/04/2000,0,CN
1589,09/04/2000,0,CN
847,19/06/1994,1,CN
847,19/06/1994,1,CN
847,19/06/1994,1,CN
847,19/06/1994,1,CN
847,19/06/1994,1,CN
847,19/06/1994,1,CN
847,19/06/1994,1,CN
847,19/06/1994,1,CN
847,19/06/1994,1,CN
1382,07/08/1997,0,CN
1382,07/08/1997,0,CN
1382,07/08/1997,0,CN
1382,07/08/1997,0,CN
1382,07/08/1997,0,CN
1382,07/08/1997,0,CN
1429,12/01/1999,0,CN
1429,12/01/1999,0,CN
1429,12/01/1999,0,CN
1429,12/01/1999,0,CN
1429,12/01/1999,0,CN
1429,12/01/1999,0,CN
1429,12/01/1999,0,CN
1429,12/01/1999,0,CN
1429,12/01/1999,0,CN
1429,12/01/1999,0,CN
1429,12/01/1999,0,CN
1429,12/01/1999,0,CN
1429,12/01/1999,0,CN
1590,11/06/2000,1,CN
1590,11/06/2000,1,CN
1590,11/06/2000,1,CN
1590,11/06/2000,1,CN
1590,11/06/2000,1,CN
1590,11/06/2000,1,CN
1590,11/06/2000,1,CN
1591,12/06/2000,1,CN
1591,12/06/2000,1,CN
1591,12/06/2000,1,CN
1591,12/06/2000,1,CN
1592,12/06/2000,0,CN
1592,12/06/2000,0,CN
1592,12/06/2000,0,CN
1593,12/06/2000,1,CN
1593,12/06/2000,1,CN
1593,12/06/2000,1,CN
1593,12/06/2000,1,CN
1593,12/06/2000,1,CN
1593,12/06/2000,1,CN
1594,12/06/2000,1,CN
1594,12/06/2000,1,CN
1594,12/06/2000,1,CN
1595,13/04/2000,1,CN
1595,13/04/2000,1,CN
1595,13/04/2000,1,CN
1595,13/04/2000,1,CN
1595,13/04/2000,1,CN
1595,13/04/2000,1,CN
1165,07/07/1996,1,CN
1165,07/07/1996,1,CN
1165,07/07/1996,1,CN
1165,07/07/1996,1,CN
1165,07/07/1996,1,CN
1165,07/07/1996,1,CN
1165,07/07/1996,1,CN
1395,29/08/1997,1,CN
1395,29/08/1997,1,CN
1395,29/08/1997,1,CN
1395,29/08/1997,1,CN
1395,29/08/1997,1,CN
1416,28/06/1998,1,CN
1416,28/06/1998,1,CN
1416,28/06/1998,1,CN
1416,28/06/1998,1,CN
1596,13/06/2000,1,CN
1596,13/06/2000,1,CN
1596,13/06/2000,1,CN
1597,14/04/2000,0,CN
1597,14/04/2000,0,CN
1597,14/04/2000,0,CN
1597,14/04/2000,0,CN
1597,14/04/2000,0,CN
1597,14/04/2000,0,CN
1598,14/04/2000,0,CN
1598,14/04/2000,0,CN
1598,14/04/2000,0,CN
1598,14/04/2000,0,CN
1598,14/04/2000,0,CN
1598,14/04/2000,0,CN
1198,15/07/1996,1,CN
1198,15/07/1996,1,CN
1198,15/07/1996,1,CN
1198,15/07/1996,1,CN
1198,15/07/1996,1,CN
1599,03/08/2000,0,CN
1599,03/08/2000,0,CN
1599,03/08/2000,0,CN
1600,03/08/2000,1,CN
1600,03/08/2000,1,CN
1600,03/08/2000,1,CN
1601,03/08/2000,1,CN
1601,03/08/2000,1,CN
1601,03/08/2000,1,CN
1602,03/08/2000,1,CN
1602,03/08/2000,1,CN
1602,03/08/2000,1,CN
1571,13/07/2000,0,CN
1571,13/07/2000,0,CN
1571,13/07/2000,0,CN
1572,30/05/2000,1,CN
1572,30/05/2000,1,CN
1572,30/05/2000,1,CN
1572,30/05/2000,1,CN
1572,30/05/2000,1,CN
1573,31/03/2000,0,CN
1573,31/03/2000,0,CN
1573,31/03/2000,0,CN
1574,30/05/2000,1,CN
1574,30/05/2000,1,CN
1574,30/05/2000,1,CN
1032,22/06/1996,1,CN
1032,22/06/1996,1,CN
1032,22/06/1996,1,CN
1032,22/06/1996,1,CN
1032,22/06/1996,1,CN
1032,22/06/1996,1,CN
1032,22/06/1996,1,CN
1032,22/06/1996,1,CN
1390,10/08/1998,0,CN
1390,10/08/1998,0,CN
1390,10/08/1998,0,CN
1390,10/08/1998,0,CN
1390,10/08/1998,0,CN
1390,10/08/1998,0,CN
1390,10/08/1998,0,CN
1390,10/08/1998,0,CN
1390,10/08/1998,0,CN
1385,29/07/1998,0,CN
1385,29/07/1998,0,CN
1385,29/07/1998,0,CN
1385,29/07/1998,0,CN
1385,29/07/1998,0,CN
1862,02/07/1990,1,CN
1862,02/07/1990,1,CN
1862,02/07/1990,1,CN
1862,02/07/1990,1,CN
1862,02/07/1990,1,CN
1862,02/07/1990,1,CN
1862,02/07/1990,1,CN
1862,02/07/1990,1,CN
1862,02/07/1990,1,CN
1862,02/07/1990,1,CN
1862,02/07/1990,1,CN
1862,02/07/1990,1,CN
1861,05/06/1994,1,CN
1861,05/06/1994,1,CN
1861,05/06/1994,1,CN
1861,05/06/1994,1,CN
1861,05/06/1994,1,CN
1861,05/06/1994,1,CN
1861,05/06/1994,1,CN
1861,05/06/1994,1,CN
1861,05/06/1994,1,CN
1861,05/06/1994,1,CN
1859,13/09/1988,0,CN
1859,13/09/1988,0,CN
1859,13/09/1988,0,CN
1859,13/09/1988,0,CN
1859,13/09/1988,0,CN
1859,13/09/1988,0,CN
1859,13/09/1988,0,CN
1687,19/11/1982,0,CN
1687,19/11/1982,0,CN
1687,19/11/1982,0,CN
1687,19/11/1982,0,CN
1687,19/11/1982,0,CN
1687,19/11/1982,0,CN
1687,19/11/1982,0,CN
1686,26/07/1982,1,CN
1686,26/07/1982,1,CN
1686,26/07/1982,1,CN
1686,26/07/1982,1,CN
1686,26/07/1982,1,CN
1686,26/07/1982,1,CN
1686,26/07/1982,1,CN
1686,26/07/1982,1,CN
1570,07/10/1999,1,CN
1570,07/10/1999,1,CN
1570,07/10/1999,1,CN
1570,07/10/1999,1,CN
1570,07/10/1999,1,CN
